,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
193,0.44,0.27,0.30,600.00,1.00,0.00,1.00,0.69,31.68,25.90,27.12,15.31,8.02,2.50,36.24,,,,,,
194,0.44,0.27,0.30,710.00,1.00,0.00,2.00,0.77,31.52,25.95,25.56,16.97,8.64,2.60,21.30,,,,,,
195,0.44,0.27,0.30,710.00,1.00,0.00,2.00,0.78,28.26,29.36,24.29,18.09,8.87,3.80,25.69,,,,,,
196,0.44,0.27,0.30,650.00,1.00,0.00,1.00,0.73,28.24,29.85,25.69,16.22,8.15,4.10,40.82,,,,,,
197,0.44,0.27,0.30,650.00,1.00,0.00,1.00,0.73,30.25,28.45,27.19,14.12,6.94,3.40,71.78,,,,,,
198,0.44,0.27,0.30,650.00,1.00,0.00,0.50,0.67,24.15,34.78,26.08,14.99,6.81,3.20,74.36,,,,,,
199,0.44,0.27,0.30,650.00,1.00,0.00,0.50,0.67,24.53,34.59,26.31,14.57,6.56,3.30,85.30,,,,,,
200,0.44,0.27,0.30,650.00,1.00,0.00,0.50,0.67,22.55,35.42,24.16,17.87,8.24,3.60,41.75,,,,,,
201,0.44,0.27,0.30,600.00,1.00,0.00,0.50,0.63,24.59,33.96,22.29,19.15,8.86,4.20,29.43,,,,,,
202,0.44,0.27,0.30,600.00,1.00,0.00,0.50,0.63,27.94,29.82,27.89,14.35,11.57,3.80,47.84,,,,,,
203,0.44,0.27,0.30,600.00,1.00,0.00,0.50,0.63,28.59,29.05,28.58,13.77,11.14,3.40,48.62,,,,,,
204,0.44,0.27,0.30,600.00,1.00,0.00,0.50,0.63,26.96,31.54,27.35,14.15,6.38,3.70,60.62,,,,,,
205,0.44,0.27,0.30,600.00,1.00,0.00,0.50,0.63,26.19,32.56,26.47,14.77,6.71,3.20,55.02,,,,,,
206,0.44,0.27,0.30,650.00,1.00,0.00,0.33,0.65,24.15,33.76,24.54,17.55,8.05,2.70,35.21,,,,,,
207,0.44,0.27,0.30,650.00,1.00,0.00,0.33,0.65,32.05,26.17,25.19,16.58,13.41,2.90,20.00,,,,,,
208,0.44,0.27,0.30,650.00,1.00,0.00,0.33,0.65,37.01,27.44,21.88,13.67,7.59,2.30,18.73,,,,,,
209,0.44,0.27,0.30,600.00,1.00,0.00,0.33,0.61,36.86,27.57,22.94,12.63,7.53,2.40,27.04,,,,,,
210,0.44,0.27,0.30,600.00,1.00,0.00,0.33,0.61,37.61,26.33,23.66,12.39,8.54,2.70,22.73,,,,,,
211,0.44,0.27,0.30,600.00,1.00,0.00,0.33,0.61,37.19,25.97,23.16,13.68,8.70,2.50,15.94,,,,,,
212,0.44,0.27,0.30,710.00,1.00,0.00,0.74,0.71,34.91,28.54,21.88,14.67,7.37,2.40,18.73,,,,,,
213,0.44,0.27,0.30,600.00,1.00,0.00,0.33,0.61,28.75,30.60,23.12,17.53,13.79,2.40,16.80,,,,,,
214,0.44,0.27,0.30,710.00,1.00,0.00,0.60,0.67,21.41,36.99,23.28,18.32,8.24,2.50,35.21,,,,,,
215,0.44,0.27,0.30,710.00,1.00,0.00,0.60,0.67,23.77,35.17,25.41,15.65,6.98,2.50,35.21,,,,,,
216,0.43,0.34,0.23,650.00,1.00,0.00,1.00,0.73,25.20,35.64,20.86,18.30,14.55,3.00,55.02,,,,,,
217,0.43,0.34,0.23,650.00,1.00,0.00,1.00,0.73,23.84,36.04,23.42,16.70,13.91,4.30,28.04,,,,,,
218,0.43,0.34,0.23,650.00,1.00,0.00,1.00,0.73,25.24,35.00,25.38,14.39,12.47,3.40,40.04,,,,,,
219,0.43,0.34,0.23,650.00,1.00,0.00,1.00,0.73,25.13,35.33,21.27,18.26,14.44,3.60,62.28,,,,,,
220,0.43,0.34,0.23,650.00,1.00,0.00,1.00,0.73,25.09,35.63,20.86,18.43,8.64,2.60,24.04,,,,,,
221,0.43,0.34,0.23,600.00,1.00,0.00,1.00,0.69,23.83,36.36,22.88,16.93,8.02,3.10,33.11,,,,,,
222,0.43,0.34,0.23,600.00,1.00,0.00,1.00,0.68,25.42,35.42,20.99,18.18,8.69,3.50,46.79,,,,,,
223,0.43,0.34,0.23,650.00,1.00,0.00,1.00,0.73,25.31,35.19,24.96,14.54,7.04,3.10,33.11,,,,,,
224,0.43,0.34,0.23,650.00,1.00,0.00,0.50,0.67,24.02,35.84,25.37,14.77,6.97,4.30,63.08,,,,,,
225,0.43,0.34,0.23,650.00,1.00,0.00,0.50,0.67,23.51,35.84,23.77,16.89,7.98,5.00,70.27,,,,,,
226,0.43,0.34,0.23,650.00,1.00,0.00,0.50,0.67,24.96,34.84,21.79,18.40,8.50,4.40,45.48,,,,,,
227,0.43,0.34,0.23,650.00,1.00,0.00,0.50,0.67,22.66,36.18,21.99,19.17,8.41,4.60,30.75,,,,,,
228,0.43,0.34,0.23,650.00,1.00,0.00,0.50,0.67,19.71,37.92,24.49,17.88,7.74,4.50,33.09,,,,,,
229,0.43,0.34,0.23,600.00,1.00,0.00,0.50,0.63,20.85,36.57,27.60,14.98,6.32,4.80,46.24,,,,,,
230,0.43,0.34,0.23,600.00,1.00,0.00,0.50,0.63,21.30,36.04,28.36,14.30,5.99,4.80,77.62,,,,,,
231,0.43,0.34,0.23,600.00,1.00,0.00,0.50,0.63,23.28,33.54,29.31,13.87,11.55,5.60,79.76,,,,,,
232,0.43,0.34,0.23,650.00,1.00,0.00,0.33,0.65,22.09,34.98,28.36,14.57,12.07,4.40,58.97,,,,,,
233,0.43,0.34,0.23,650.00,1.00,0.00,0.33,0.65,20.85,36.67,27.68,14.80,6.24,4.60,53.74,,,,,,
234,0.43,0.34,0.23,650.00,1.00,0.00,0.33,0.65,21.27,35.89,28.61,14.23,5.91,4.30,67.45,,,,,,
235,0.43,0.34,0.23,600.00,1.00,0.00,0.33,0.61,19.47,38.20,24.57,17.77,7.67,4.30,71.54,,,,,,
236,0.43,0.34,0.23,600.00,1.00,0.00,0.33,0.61,27.55,32.01,23.28,17.16,14.20,4.40,40.19,,,,,,
237,0.43,0.34,0.23,600.00,1.00,0.00,0.33,0.61,33.35,29.96,21.94,14.75,6.59,3.50,26.73,,,,,,
238,0.43,0.34,0.23,600.00,1.00,0.00,0.33,0.61,33.02,30.36,23.16,13.46,6.66,2.50,18.56,,,,,,
239,0.43,0.34,0.23,710.00,1.00,0.00,0.60,0.67,33.03,30.14,23.44,13.39,7.82,2.60,27.79,,,,,,
240,0.43,0.34,0.23,710.00,1.00,0.00,0.74,0.71,33.11,29.96,22.31,14.62,8.18,2.50,26.31,,,,,,
241,0.43,0.34,0.23,710.00,1.00,0.00,2.00,0.77,32.65,30.58,23.25,13.52,7.89,2.50,16.61,,,,,,
242,0.43,0.34,0.23,710.00,1.00,0.00,2.00,0.78,26.41,32.98,22.78,17.83,8.18,2.50,26.31,,,,,,
243,0.43,0.34,0.23,710.00,1.00,0.00,2.00,0.78,27.88,30.60,27.60,13.91,12.21,3.20,33.11,,,,,,
244,0.45,0.35,0.20,650.00,1.00,0.00,1.00,0.73,27.83,30.19,24.10,17.88,13.48,3.60,62.28,,,,,,
245,0.45,0.35,0.20,650.00,1.00,0.00,1.00,0.73,25.93,32.86,22.96,18.25,13.15,3.80,21.67,,,,,,
246,0.45,0.35,0.20,650.00,1.00,0.00,1.00,0.73,27.56,29.84,26.23,16.37,12.91,4.60,19.87,,,,,,
247,0.45,0.35,0.20,600.00,1.00,0.00,1.00,0.69,29.49,28.27,28.08,14.16,11.69,4.90,31.41,,,,,,
248,0.45,0.35,0.20,600.00,1.00,0.00,1.00,0.69,16.85,34.25,32.12,16.79,11.39,5.00,49.57,,,,,,
249,0.45,0.35,0.20,710.00,1.00,0.00,2.00,0.78,16.83,33.68,33.49,16.00,10.80,5.00,47.03,,,,,,
250,0.45,0.35,0.20,710.00,1.00,0.00,2.00,0.77,27.67,35.79,21.41,15.13,7.38,4.50,48.10,,,,,,
251,0.45,0.35,0.20,650.00,1.00,0.00,1.00,0.73,29.52,34.27,20.31,15.91,7.62,3.30,23.35,,,,,,
252,0.45,0.35,0.20,650.00,1.00,0.00,0.50,0.67,28.49,29.33,27.67,14.51,6.43,2.70,17.08,,,,,,
253,0.45,0.35,0.20,650.00,1.00,0.00,0.50,0.67,27.12,30.41,25.91,16.57,7.25,6.00,50.07,,,,,,
254,0.45,0.35,0.20,650.00,1.00,0.00,0.50,0.66,27.91,30.43,23.69,17.97,7.85,5.70,37.21,,,,,,
255,0.45,0.35,0.20,600.00,1.00,0.00,0.50,0.63,16.36,33.40,34.09,16.16,4.86,6.60,24.48,,,,,,
256,0.45,0.35,0.20,600.00,1.00,0.00,0.50,0.63,16.28,33.97,32.81,16.94,5.20,6.10,58.29,,,,,,
257,0.45,0.35,0.20,600.00,1.00,0.00,0.50,0.63,16.94,34.76,28.63,19.67,6.54,6.20,55.79,,,,,,
258,0.45,0.35,0.20,650.00,1.00,0.00,0.33,0.65,26.10,31.69,23.68,18.53,7.76,6.50,35.12,,,,,,
259,0.45,0.35,0.20,650.00,1.00,0.00,0.33,0.65,23.35,33.55,25.54,17.55,7.18,7.30,44.11,,,,,,
260,0.45,0.35,0.20,650.00,1.00,0.00,0.33,0.65,24.16,33.52,26.77,15.56,6.43,7.70,28.60,,,,,,
261,0.45,0.35,0.20,600.00,1.00,0.00,0.33,0.61,13.29,36.62,32.69,17.40,5.47,7.40,59.39,,,,,,
262,0.45,0.35,0.20,600.00,1.00,0.00,0.33,0.61,16.28,34.14,33.10,16.48,5.24,7.30,70.23,,,,,,
263,0.45,0.35,0.20,600.00,1.00,0.00,0.33,0.61,16.56,35.56,28.01,19.86,6.96,5.00,71.46,,,,,,
264,0.45,0.35,0.20,710.00,1.00,0.00,0.74,0.71,27.61,35.84,21.34,15.20,6.07,7.10,42.54,,,,,,
265,0.45,0.35,0.20,600.00,1.00,0.00,0.33,0.61,22.49,32.86,24.53,20.12,7.54,3.10,25.16,,,,,,
266,0.45,0.35,0.20,710.00,1.00,0.00,0.60,0.67,29.52,34.17,20.20,16.11,6.07,6.90,31.79,,,,,,
267,0.57,0.28,0.16,750.00,1.00,0.30,0.00,1.10,26.80,29.40,35.10,8.60,3.65,19.90,9.50,,,,,,
268,0.57,0.28,0.16,800.00,1.00,0.30,0.00,1.50,28.60,33.10,29.90,8.20,4.20,11.50,2.60,,,,,,
269,0.57,0.28,0.16,800.00,1.00,0.30,0.00,1.50,29.20,33.20,31.50,6.20,4.30,11.80,1.90,,,,,,
270,0.57,0.28,0.16,750.00,1.00,0.30,0.00,1.10,25.00,31.40,34.20,9.40,3.40,32.80,10.80,,,,,,
271,0.44,0.31,0.25,750.00,1.00,0.30,0.00,1.64,23.60,29.50,34.80,8.50,3.30,22.00,5.30,,,,,,
272,0.44,0.31,0.25,800.00,1.00,0.30,0.00,2.15,25.50,35.10,30.30,7.80,3.70,17.00,2.20,,,,,,
273,0.44,0.31,0.25,800.00,1.00,0.30,0.00,2.15,27.10,33.70,31.40,7.70,3.90,14.00,1.75,,,,,,
274,0.44,0.31,0.25,750.00,1.00,0.30,0.00,1.64,21.80,31.70,36.00,7.80,3.20,22.00,6.80,,,,,,
275,0.44,0.31,0.25,800.00,1.00,0.30,0.00,2.15,23.40,33.70,35.20,7.70,3.70,16.00,3.00,,,,,,
276,0.49,0.32,0.19,872.00,1.00,0.23,0.00,0.04,9.55,44.61,40.76,5.08,3.45,0.20,0.00,,,,,,
277,0.49,0.32,0.19,872.00,1.00,0.23,0.00,0.04,8.21,43.46,42.95,5.38,3.19,0.11,0.00,,,,,,
278,0.49,0.32,0.19,876.00,1.00,0.30,0.00,0.05,9.60,41.30,43.40,5.70,3.42,0.00,59.40,,,,,,
279,0.49,0.32,0.19,874.00,1.00,0.30,0.00,0.05,10.97,43.37,39.37,6.29,4.16,0.05,45.30,,,,,,
280,0.49,0.32,0.19,868.00,1.00,0.30,0.00,0.05,9.56,43.39,41.74,5.31,3.76,0.17,54.50,,,,,,
281,0.49,0.32,0.19,874.00,1.00,0.35,0.00,0.06,10.73,39.97,41.84,7.46,4.12,0.17,37.90,,,,,,
282,0.49,0.32,0.19,874.00,1.00,0.35,0.00,0.06,10.37,40.46,41.99,7.18,3.27,0.17,31.70,,,,,,
283,0.45,0.35,0.20,869.20,1.00,0.20,0.00,0.05,12.31,40.82,39.94,6.93,3.92,0.12,37.30,,,,,,
284,0.45,0.35,0.20,870.10,1.00,0.20,0.00,0.05,11.19,46.20,37.00,5.62,4.09,0.09,43.40,,,,,,
285,0.45,0.35,0.20,872.00,1.00,0.25,0.00,0.05,12.74,29.04,48.60,9.62,3.17,0.02,97.10,,,,,,
286,0.45,0.35,0.20,872.00,1.00,0.25,0.00,0.05,10.24,38.95,44.51,6.29,3.46,0.03,94.30,,,,,,
287,0.45,0.35,0.20,873.00,1.00,0.30,0.00,0.05,10.03,37.86,43.76,8.34,4.26,0.06,58.20,,,,,,
288,0.45,0.35,0.20,872.00,1.00,0.30,0.00,0.05,10.43,35.78,45.71,8.08,3.96,0.03,59.20,,,,,,
289,0.45,0.35,0.20,873.00,1.00,0.35,0.00,0.06,8.67,34.11,49.55,7.68,3.52,3.57,72.70,,,,,,
290,0.45,0.35,0.20,873.80,1.00,0.35,0.00,0.06,8.76,32.21,52.98,6.05,3.29,4.09,69.50,,,,,,
291,0.55,0.16,0.29,820.00,1.00,0.24,0.00,0.54,24.39,40.97,24.95,9.68,7.00,1.97,0.05,,,,,,
292,0.55,0.16,0.29,800.00,1.00,0.26,0.00,0.55,26.99,38.06,24.66,10.29,6.70,9.51,0.10,,,,,,
293,0.55,0.16,0.29,790.00,1.00,0.21,0.00,0.42,30.15,34.67,25.87,9.31,6.70,10.98,0.28,,,,,,
294,0.55,0.16,0.29,820.00,1.00,0.28,0.00,0.56,26.46,36.77,28.21,8.56,6.10,9.95,0.01,,,,,,
295,0.55,0.16,0.29,800.00,1.00,0.19,0.00,0.36,27.19,37.02,27.19,8.60,7.00,13.41,0.03,,,,,,
296,0.55,0.16,0.29,800.00,1.00,0.19,0.00,0.37,24.63,41.36,24.63,9.38,7.10,13.99,0.02,,,,,,
297,0.55,0.16,0.29,810.00,1.00,0.20,0.00,0.36,26.40,40.51,24.59,8.50,6.90,14.95,0.01,,,,,,
298,0.55,0.16,0.29,820.00,1.00,0.22,0.00,0.47,23.81,41.52,26.29,8.38,6.50,11.65,0.07,,,,,,
299,0.55,0.16,0.29,820.00,1.00,0.27,0.00,0.46,24.57,37.90,28.19,9.33,6.00,4.60,0.01,,,,,,
300,0.55,0.16,0.29,820.00,1.00,0.29,0.00,0.48,21.21,39.39,29.70,9.70,7.30,16.74,0.03,,,,,,
301,0.55,0.16,0.29,840.00,1.00,0.35,0.00,0.55,26.42,34.38,30.40,8.81,6.70,1.89,0.06,,,,,,
302,0.55,0.16,0.29,800.00,1.00,0.24,0.00,0.42,29.51,37.78,22.18,10.53,7.00,1.73,0.00,,,,,,
303,0.55,0.16,0.29,830.00,1.00,0.24,0.00,0.39,26.86,34.86,29.33,8.95,7.40,18.10,0.27,,,,,,
304,0.55,0.16,0.29,830.00,1.00,0.24,0.00,0.39,31.99,37.96,22.85,7.21,3.90,24.05,0.00,,,,,,
305,0.55,0.16,0.29,840.00,1.00,0.24,0.00,0.46,27.44,36.10,23.39,13.08,7.40,35.65,0.19,,,,,,
306,0.55,0.16,0.29,840.00,1.00,0.24,0.00,0.46,31.80,40.46,18.73,9.01,6.90,39.33,0.00,,,,,,
307,0.55,0.16,0.29,840.00,1.00,0.24,0.00,0.46,27.44,36.10,23.39,13.08,6.90,39.33,0.00,,,,,,
308,0.55,0.16,0.29,840.00,1.00,0.24,0.00,0.46,31.80,40.46,18.73,9.01,6.90,39.33,0.00,,,,,,
309,0.49,0.32,0.19,823.00,2.00,0.76,0.60,2.70,38.32,22.06,36.98,2.64,5.09,1.00,5.31,,,,,,
310,0.51,0.21,0.28,840.00,2.00,0.86,0.70,2.70,37.73,21.17,38.17,2.93,4.31,1.60,5.74,,,,,,
311,0.51,0.21,0.28,857.00,2.00,0.82,0.70,2.70,38.14,21.64,38.14,2.09,4.07,1.40,4.80,,,,,,
312,0.51,0.21,0.28,853.00,2.00,0.72,0.60,2.80,40.18,23.59,34.92,1.31,4.52,1.20,5.03,,,,,,
313,0.49,0.24,0.28,750.00,1.00,0.00,0.83,0.17,42.94,24.89,23.21,8.97,6.15,1.20,4.40,,,,,,
314,0.49,0.24,0.28,750.00,1.00,0.00,1.00,0.21,46.02,22.23,23.56,8.19,5.88,1.20,5.07,,,,,,
315,0.49,0.24,0.28,750.00,1.00,0.00,1.20,0.19,48.79,19.71,24.23,7.27,5.44,1.20,3.66,,,,,,
316,0.49,0.24,0.28,800.00,1.00,0.00,0.83,0.19,45.77,24.26,21.30,8.67,6.50,1.20,4.20,,,,,,
317,0.49,0.24,0.28,800.00,1.00,0.00,1.00,0.23,46.39,23.19,21.77,8.64,6.38,1.20,4.02,,,,,,
318,0.49,0.24,0.28,800.00,1.00,0.00,1.20,0.21,50.54,18.83,23.27,7.36,5.65,1.30,2.85,,,,,,
319,0.49,0.24,0.28,840.00,1.00,0.00,0.83,0.21,49.25,22.69,20.65,7.42,6.42,1.30,3.52,,,,,,
320,0.49,0.24,0.28,840.00,1.00,0.00,1.00,0.24,49.25,22.81,20.56,7.39,6.48,1.30,3.15,,,,,,
321,0.49,0.24,0.28,840.00,1.00,0.00,1.20,0.22,51.61,21.31,20.77,6.32,6.08,1.30,1.99,,,,,,
322,0.49,0.24,0.28,750.00,2.50,0.00,0.84,0.14,46.59,15.38,27.63,10.40,5.46,1.40,6.48,,,,,,
323,0.49,0.24,0.28,750.00,2.50,0.00,1.20,0.17,48.70,12.77,28.79,9.74,4.97,1.40,5.65,,,,,,
324,0.49,0.24,0.28,790.00,2.50,0.00,0.84,0.15,46.78,19.74,23.71,9.76,6.27,1.40,5.09,,,,,,
325,0.49,0.24,0.28,790.00,2.50,0.00,1.20,0.19,49.52,18.13,23.86,8.48,5.95,1.40,2.67,,,,,,
326,0.32,0.19,0.49,835.00,1.00,0.28,1.00,3.10,22.85,35.32,32.49,9.33,5.73,14.50,8.30,,,,,,
327,0.55,0.16,0.29,821.00,1.00,0.26,1.40,3.10,23.57,34.12,33.05,9.26,4.72,21.83,10.10,,,,,,
328,0.50,0.25,0.25,831.00,1.00,0.24,0.85,3.10,23.90,32.91,33.23,9.96,5.68,10.41,11.40,,,,,,
329,0.50,0.25,0.25,836.00,1.00,0.36,1.40,2.80,37.13,13.13,44.05,5.69,2.43,12.29,2.20,,,,,,
330,0.45,0.33,0.22,831.00,1.00,0.35,1.50,2.80,33.40,13.26,47.29,6.05,2.71,21.45,3.70,,,,,,
331,0.55,0.16,0.29,827.00,1.00,0.34,1.20,3.90,22.67,30.70,38.07,8.56,4.51,28.32,12.60,,,,,,
332,0.55,0.16,0.29,830.00,1.00,0.32,1.10,3.70,20.68,32.09,38.38,8.85,4.71,26.50,12.80,,,,,,
333,0.50,0.25,0.25,837.00,1.00,0.38,1.50,3.70,22.26,31.78,37.16,8.80,4.97,34.60,11.30,,,,,,
334,0.55,0.16,0.29,750.00,1.10,0.00,0.75,0.25,5.40,42.69,44.49,7.43,13.40,8.00,2.00,,,,,,
335,0.55,0.16,0.29,750.00,1.10,0.00,0.82,0.25,6.00,31.92,56.51,5.57,11.50,8.00,1.20,,,,,,
336,0.55,0.16,0.29,750.00,1.10,0.00,0.79,0.25,7.02,35.53,49.90,7.54,12.30,8.00,1.30,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
