,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
45,0.47,0.25,0.28,780.00,1.00,0.17,0.65,0.30,46.35,26.97,23.42,3.26,9.57,0.00,9.00,,,,,,
46,0.47,0.25,0.28,780.00,1.00,0.17,0.65,0.30,47.57,27.63,22.45,2.34,9.46,38.00,8.60,,,,,,
47,0.50,0.25,0.24,650.00,1.00,0.00,7.98,0.10,66.03,5.01,16.45,12.51,10.31,20.85,3.32,,,,,,
48,0.50,0.25,0.24,650.00,1.00,0.00,8.03,0.10,49.26,14.82,20.53,15.38,10.31,23.87,3.76,,,,,,
49,0.50,0.25,0.24,750.00,1.00,0.00,0.00,0.09,37.57,35.81,12.25,14.37,14.96,20.61,0.71,,,,,,
50,0.50,0.25,0.24,750.00,1.00,0.00,7.07,0.10,55.55,7.78,29.50,7.17,9.99,3.05,0.69,,,,,,
51,0.50,0.25,0.24,750.00,1.00,0.00,7.11,0.10,47.76,15.31,27.40,9.53,11.16,2.32,4.90,,,,,,
52,0.50,0.25,0.24,750.00,1.00,0.00,7.08,0.10,55.21,7.48,29.88,7.44,10.04,3.51,1.79,,,,,,
53,0.29,0.29,0.42,750.00,1.00,0.20,0.00,0.30,39.00,23.23,31.68,6.10,9.32,38.90,0.00,,,,,,
54,0.29,0.29,0.42,750.00,1.00,0.30,0.00,0.30,40.00,29.25,25.75,5.00,9.80,34.02,0.00,,,,,,
55,0.29,0.29,0.42,750.00,1.00,0.40,0.00,0.30,42.56,26.86,25.61,4.97,9.76,29.16,0.00,,,,,,
56,0.29,0.29,0.42,800.00,1.00,0.20,0.00,0.30,33.51,26.33,32.78,7.38,9.58,38.90,0.00,,,,,,
57,0.29,0.29,0.42,800.00,1.00,0.30,0.00,0.30,30.18,29.04,34.76,6.02,9.08,34.02,0.00,,,,,,
58,0.29,0.29,0.42,800.00,1.00,0.40,0.00,0.30,31.72,31.94,32.29,4.05,8.90,29.16,0.00,,,,,,
59,0.29,0.29,0.42,850.00,1.00,0.20,0.00,0.30,32.60,32.69,28.67,6.05,9.81,38.90,0.00,,,,,,
60,0.29,0.29,0.42,850.00,1.00,0.30,0.00,0.30,29.60,28.17,35.15,7.09,9.29,34.02,0.00,,,,,,
61,0.29,0.29,0.42,850.00,1.00,0.40,0.00,0.30,28.15,27.33,37.59,6.93,8.97,29.16,0.00,,,,,,
62,0.47,0.19,0.35,740.00,1.65,0.54,0.00,0.72,17.45,21.50,56.70,4.36,1.98,2.30,0.00,,,,,,
63,0.45,0.20,0.35,730.00,1.19,0.40,0.00,0.52,9.73,32.52,51.98,5.78,2.38,7.10,0.00,,,,,,
64,0.44,0.26,0.30,815.00,1.19,0.52,0.00,0.59,9.49,30.38,54.11,6.01,2.21,0.80,0.00,,,,,,
65,0.44,0.26,0.30,772.00,1.19,0.38,0.02,0.49,10.50,38.58,43.31,7.61,3.32,1.40,0.00,,,,,,
66,0.44,0.26,0.30,787.00,1.19,0.43,0.22,0.47,10.92,36.21,45.11,7.76,2.97,7.00,0.00,,,,,,
67,0.44,0.26,0.30,718.00,1.19,0.34,0.00,0.48,13.58,40.99,37.04,8.40,3.90,8.10,0.00,,,,,,
68,0.46,0.19,0.35,730.00,1.19,0.35,0.00,0.51,10.43,40.37,41.71,7.49,3.33,14.20,0.00,,,,,,
69,0.44,0.26,0.30,752.00,1.19,0.41,0.00,0.51,9.92,37.96,44.19,7.93,3.07,8.90,0.00,,,,,,
70,0.46,0.19,0.36,815.00,1.19,0.40,0.00,0.44,11.58,34.75,46.61,7.06,2.89,12.40,0.41,,,,,,
71,0.44,0.26,0.30,789.00,1.19,0.34,0.00,0.43,11.20,38.93,41.87,8.00,3.37,18.10,1.39,,,,,,
72,0.51,0.21,0.28,701.00,1.19,0.22,0.00,0.46,11.71,46.42,31.89,9.98,4.93,18.40,15.13,,,,,,
73,0.32,0.19,0.49,749.20,2.00,0.00,5.01,0.06,5.39,27.54,60.24,6.83,8.08,17.90,10.91,,,,,,
74,0.32,0.19,0.49,733.00,2.00,0.00,5.09,0.06,5.71,31.44,56.44,6.41,8.33,9.00,7.63,,,,,,
75,0.32,0.19,0.49,738.90,2.00,0.00,6.04,0.07,5.52,25.41,62.56,6.52,7.94,17.90,10.21,,,,,,
76,0.32,0.19,0.49,740.00,2.00,0.00,6.03,0.07,5.84,30.27,57.74,6.15,8.32,2.10,6.88,,,,,,
77,0.20,0.63,0.18,840.00,5.00,0.31,0.00,0.56,29.53,33.25,30.02,7.20,2.63,17.60,1.60,,,,,,
78,0.20,0.63,0.18,825.00,5.00,0.29,0.29,1.01,30.26,26.05,35.26,8.42,2.42,19.20,3.00,,,,,,
79,0.20,0.63,0.18,828.00,5.00,0.32,0.11,0.76,30.36,31.12,31.89,6.63,2.50,18.80,1.70,,,,,,
80,0.20,0.63,0.18,828.00,5.00,0.37,0.00,0.61,28.27,32.80,32.80,6.13,2.51,16.20,0.70,,,,,,
81,0.20,0.63,0.18,831.00,7.00,0.30,0.31,0.77,32.15,24.30,35.19,8.35,2.42,16.40,2.60,,,,,,
82,0.20,0.63,0.18,822.00,10.00,0.29,0.43,0.65,31.78,24.03,34.37,9.82,2.61,18.80,2.50,,,,,,
83,0.20,0.63,0.18,819.00,5.00,0.40,0.18,0.75,29.54,29.81,34.69,5.96,2.17,7.80,1.10,,,,,,
84,0.20,0.63,0.18,815.00,4.00,0.43,0.37,0.76,28.79,23.33,41.21,6.67,1.74,6.80,2.20,,,,,,
85,0.20,0.63,0.18,835.00,5.00,0.41,0.19,0.71,28.77,28.21,37.04,5.98,2.00,11.40,1.90,,,,,,
86,0.55,0.16,0.29,775.00,4.00,0.28,0.08,0.64,21.65,36.86,29.64,11.86,3.36,11.20,6.10,,,,,,
87,0.55,0.16,0.29,814.00,4.00,0.39,0.34,0.82,26.01,31.21,34.68,8.09,2.47,6.50,2.90,,,,,,
88,0.47,0.26,0.27,700.00,1.00,0.20,0.00,0.19,29.18,21.67,37.61,11.54,6.32,21.50,28.98,,,,,,
89,0.47,0.26,0.27,800.00,1.00,0.20,0.00,0.19,31.02,28.28,31.51,9.19,6.83,5.21,27.03,,,,,,
90,0.47,0.26,0.27,700.00,1.00,0.20,0.00,0.18,27.95,23.65,37.60,10.81,5.88,23.17,26.31,,,,,,
91,0.47,0.26,0.27,760.00,1.00,0.20,0.00,0.19,27.47,27.98,33.90,10.65,6.47,12.96,42.99,,,,,,
92,0.47,0.26,0.27,800.00,1.00,0.20,0.00,0.19,29.89,30.72,30.44,8.95,7.01,0.90,34.85,,,,,,
93,0.58,0.31,0.10,836.00,1.00,0.35,1.00,3.44,28.68,23.71,39.82,7.79,4.28,11.80,5.80,,,,,,
94,0.58,0.31,0.10,837.00,1.00,0.33,1.00,3.44,30.50,22.32,39.69,7.48,4.16,11.80,5.80,,,,,,
95,0.58,0.31,0.10,833.00,1.00,0.35,1.00,3.44,36.50,16.23,41.14,6.13,3.37,11.80,5.80,,,,,,
96,0.55,0.16,0.29,750.00,1.00,0.00,0.65,0.03,28.38,33.12,25.84,12.66,8.03,18.50,8.30,,,,,,
97,0.55,0.16,0.29,800.00,1.00,0.00,0.65,0.03,30.64,28.75,29.28,11.33,7.03,16.10,5.50,,,,,,
98,0.55,0.16,0.29,850.00,1.00,0.00,0.62,0.03,29.87,33.33,26.00,10.80,7.68,13.70,5.10,,,,,,
99,0.55,0.16,0.29,750.00,1.00,0.00,0.60,0.03,30.27,23.28,36.12,10.33,5.65,21.90,5.50,,,,,,
100,0.55,0.16,0.29,800.00,1.00,0.00,0.50,0.02,28.40,39.40,22.70,9.50,8.29,17.90,3.90,,,,,,
101,0.55,0.16,0.29,800.00,1.00,0.00,0.60,0.03,30.96,27.41,30.96,10.67,6.60,17.30,3.70,,,,,,
102,0.55,0.16,0.29,800.00,1.00,0.00,0.90,0.04,31.95,20.53,38.22,9.30,5.04,14.70,4.20,,,,,,
103,0.55,0.16,0.29,800.00,1.00,0.00,0.57,0.02,27.81,19.48,43.54,9.17,4.47,12.60,2.60,,,,,,
104,0.58,0.31,0.10,785.00,1.00,0.24,0.00,0.07,25.44,34.83,28.18,11.55,5.75,10.68,24.30,,,,,,
105,0.58,0.31,0.10,806.00,1.00,0.30,0.00,0.07,22.57,36.23,30.64,10.56,5.21,6.86,23.20,,,,,,
106,0.58,0.31,0.10,813.00,1.00,0.36,0.00,0.07,19.19,35.89,33.86,11.06,4.67,5.14,16.90,,,,,,
107,0.58,0.31,0.10,779.00,1.00,0.24,0.00,0.08,24.85,35.70,27.22,12.23,5.85,13.97,19.70,,,,,,
108,0.58,0.31,0.10,798.00,1.00,0.30,0.00,0.08,21.80,37.53,29.14,11.53,5.35,10.32,22.60,,,,,,
109,0.58,0.31,0.10,804.00,1.00,0.36,0.00,0.08,18.33,37.56,32.13,11.99,4.87,9.90,21.40,,,,,,
